NO,KODE MATA KULIAH,Sifat,SKS,Nilai
1,ST068,ALGORITMA DAN PEMROGRAMAN,Wajib,4,A
2,ST092,ALJABAR LINIER DAN MATRIKS,Wajib,2,A
3,ST149,ANALISIS DAN DESAIN SISTEM INFORMASI,Wajib,2,A,
4,ST120,BAHASA INDONESIA,Wajib,2,A
5,ST008,BAHASA INGGRIS I,Wajib,2,A
6,ST016,BAHASA INGGRIS II,Wajib,2,B
7,ST024,BAHASA INGGRIS III,Wajib,2,B
8,ST118,BASIS DATA LANJUT,Pilihan,4,A
9,ST078,DATA MINING,,Pilihan,2,B
10,ST140,E-BISNIS,Wajib,2,A
11,ST108,E-COMMERCE,Wajib,2,B
12,ST070,ETIKA PROFESI,Wajib,2,A
13,ST138,FOTOGRAFI,Wajib,2,B
14,ST123,HARDWARE/SOFTWARE I,Wajib,4,A
15,ST046,INTERAKSI MANUSIA DAN KOMPUTER,Wajib,2,A
16,ST073,JARINGAN KOMPUTER,Wajib,4,A
17,ST137,KALKULUS,Wajib,2,A
18,ST082,KECAKAPAN ANTAR PERSONAL,Wajib,2,A
19,ST045,KECERDASAN BUATAN,Wajib,2,A
20,ST150,KEPEMIMPINAN,Wajib,2,A
21,ST119,KEWIRAUSAHAAN,Wajib,2,A
22,ST029,KOMPUTER GRAFIS,Wajib,2,A
23,ST014,KOMUNIKASI DATA,Wajib,4,B
24,ST013,LINGKUNGAN BISNIS,Wajib,2,A
25,ST081,LOGIKA INFORMATIKA,Wajib,2,A
26,ST050,MANAJEMEN STRATEGIK,Wajib,2,A
27,ST087,MANAJEMEN SUMBERDAYA IT,Wajib,2,A
28,ST011,MANAJEMEN UMUM,Wajib,2,A
29,ST023,MATEMATIKA DISKRET,Wajib,2,A
30,ST044,METODE NUMERIK,Wajib,4,B
31,ST096,METODOLOGI PENELITIAN,Wajib,2,A
32,ST095,MULTIMEDIA,Wajib,2,A
33,ST094,ORGANISASI & ARSITEKTUR KOMPUTER,Wajib,2,A
34,ST021,PEMROGRAMAN,Wajib,2,B
35,ST116,PEMROGRAMAN BASIS DATA,Konsentrasi,4,A
36,ST122,PEMROGRAMAN LANJUT,Wajib,4,A
37,ST084,PEMROGRAMAN WEB,Wajib,4,A
38,ST097,PEMROGRAMAN WEB LANJUT,Konsentrasi,4,B
39,ST002,PENDIDIKAN AGAMA,Wajib,2,A
40,ST090,PENDIDIKAN KEWARGANEGARAAN,Wajib,2,B
41,ST001,PENDIDIKAN PANCASILA,Wajib,2,A
42,ST139,PENGANTAR ILMU KOMPUTER,Wajib,2,A
43,ST125,PRAKTIKUM HARDWARE/SOFTWARE II,Wajib,2,A
44,ST088,PROGRAM APLIKASI MOBILE,Pilihan,2,A
45,ST063,REKAYASA PERANGKAT LUNAK,Wajib,4,A
46,ST129,RISET OPERASI,Wajib,2,A
47,ST022,SISTEM BASIS DATA,Wajib,4,A
48,ST043,SISTEM BERKAS DAN KEAMANAN DATA,Wajib,2,A
49,ST035,SISTEM INFORMASI MANAJEMEN,Wajib,2,A
50,ST019,SISTEM OPERASI,Wajib,4,A
51,ST121,STATISTIK,Wajib,4,A
52,ST015,STRUKTUR DATA,Wajib,4,A
53,ST142,TEKNOLOGI GAME,Pilihan,4,A